tipo,id,nome
assunto,1,Nascidos vivos
assunto,100,Balneabilidade
assunto,101,Produção de pescado marítima e continental
assunto,102,População residente em áreas costeiras
assunto,103,Espécies extintas e ameaçadas de extinção
assunto,104,Áreas protegidas
assunto,105,"Tráfico, criação e comércio de animais silvestres"
assunto,106,Espécies invasoras
assunto,107,"Acesso a serviço de coleta de lixo
                    doméstico"
assunto,108,Destinação final do lixo
assunto,109,"Acesso a sistema de
                    abastecimento de água"
assunto,110,Acesso a esgotamento sanitário
assunto,111,Tratamento de esgoto
assunto,112,"Taxa de crescimento da
                    população"
assunto,113,"Taxa de
                    fecundidade"
assunto,114,"População e
                    terras indígenas"
assunto,115,"Índice de Gini da distribuição do
                    rendimento"
assunto,116,"Taxa de
                    desocupação"
assunto,117,Rendimento familiar per capita
assunto,118,Rendimento médio mensal
assunto,119,Esperança de vida ao nascer
assunto,12,Empresas
assunto,120,"Taxa de mortalidade
                    infantil"
assunto,121,Prevalência de desnutrição total
assunto,122,Imunização contra doenças infecciosas infantis
assunto,123,Oferta de serviços básicos de saúde
assunto,124,"Doenças
                    relacionadas ao saneamento ambiental inadequado"
assunto,125,"Taxa de
                    escolarização"
assunto,126,"Taxa de
                    alfabetização"
assunto,127,Escolaridade
assunto,128,"Adequação de
                    moradia"
assunto,129,"Coeficiente de mortalidade por
                    homicídios ou por acidentes de transporte"
assunto,13,Unidades locais
assunto,130,Igualdade de gênero
assunto,131,Produto Interno Bruto per capita
assunto,132,"Taxa de
                    investimento"
assunto,133,Balança comercial
assunto,134,Grau de endividamento
assunto,135,Consumo de energia per capita
assunto,136,Intensidade energética
assunto,137,"Participação de fontes renováveis na oferta de
                    energia"
assunto,138,"
                    Consumo mineral per capita"
assunto,139,Vida útil das reservas minerais
assunto,140,Reciclagem
assunto,141,Coleta seletiva de lixo
assunto,142,Rejeitos radioativos: geração e armazenamento
assunto,143,Existência de conselhos municipais
assunto,144,"Gastos com Pesquisa e
                    Desenvolvimento - P D"
assunto,145,"Gasto público com proteção ao
                    meio ambiente"
assunto,146,"Acesso a serviços de
                    telefonia"
assunto,147,Acesso à internet
assunto,148,Abastecimento de água
assunto,149,Esgotamento sanitário
assunto,15,Migração
assunto,151,Limpeza urbana e Coleta de lixo
assunto,152,Movimentação financeira
assunto,153,"Gestão municipal de saneamento
                    básico"
assunto,154,Manejo de águas pluviais
assunto,155,Manejo de resíduos sólidos
assunto,156,Emigração
assunto,157,Etnia
assunto,158,Língua falada
assunto,159,Registro de nascimento
assunto,160,"
                    Mortalidade"
assunto,161,Características da pessoa
assunto,162,Características do domicílio
assunto,163,Alimentação
assunto,165,Atividade física
assunto,167,"Uso de
                    cigarro"
assunto,168,Uso de álcool
assunto,169,Uso de drogas
assunto,17,Trabalho
assunto,170,Vida sexual
assunto,171,Violência
assunto,172,Segurança
assunto,173,Emprego
assunto,175,"Características gerais da
                    população"
assunto,176,Trabalho e rendimento
assunto,177,Nupcialidade e fecundidade
assunto,179,Instrução e Educação
assunto,18,Fecundidade
assunto,180,"Tecnologia da
                    Informação"
assunto,181,Antropometria
assunto,182,Transportes
assunto,183,Informática
assunto,184,"Correio e/ou
                    telecomunicações"
assunto,185,Serviços audiovisuais
assunto,186,Engenharia e arquitetura
assunto,187,Publicidade
assunto,188,Alojamento e/ou alimentação
assunto,189,Atividades imobiliárias
